,Имя,Ссылка,Цена,Адрес,Описание,Общая площадь,Площадь кухни,Этаж,Год постройки,Тип жилья,Высота потолков,Санузел,Вид из окон,Ремонт,Строительная серия,Тип дома,Тип перекрытий,Подъезды,Отопление,Аварийность,Обременения,Кадастровый номер,Площадь,Тип помещения,Парковка,Собственников,Жилая площадь,Мусоропровод,Продаётся с мебелью,Балкон/лоджия,Количество лифтов,Газоснабжение,Размер доли
10,"Продается 5-комн. квартира, 101,1",https://kemerovo.cian.ru/sale/flat/312310702/,5 700 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Есенина, 74На карте","Продается уютная просторная 5-ти комнатная квартира, расположенная на 3 этаже 10-ти этажного дома. В доме пассажирский лифт. Окна на обе стороны, летом прохладно, зимой тепло(установлены деревянные стеклопакеты), рядом школа, магазины, детские сады, автобусная и трамвайная остановки. Мебель можно оставить по договоренности. Один взрослый собственник, без обременений, подходит под ипотеку. Если не взял трубку, пишите сообщения, перезвоню. Возможен торг реальному покупателю при просмотре квартиры.","101,1 м²",10 м²,3,1991,Вторичка,,1 раздельный,На улицу и двор,Косметический,111-97,Монолитный,Железобетонные,4,Центральное,Нет,Нет,42:32:0103013:***,"101,1 м²",Жилое,Наземная,2,80 м²,Да,,1 балкон,1 пассажирский,,
11,"3-комн. квартира, 71,9 м², 1/2 этаж",https://kemerovo.cian.ru/sale/flat/313817064/,2 500 000 ₽,"Кемеровская область, Прокопьевск, р-н Центральный, ул. Менжинского, 8На карте","Продается уютная трехкомнатная квартира в Прокопьевске, расположенная по адресу: улица Менжинского, 8. Общая площадь составляет 71,9 кв.м., а кухня занимает 6,2 кв.м. Квартира находится на первом этаже двухэтажного дома, построенного в 2000 году. Это отличный вариант для семьи, которая ищет комфортное и доступное жилье.

В квартире сделан косметический ремонт, что позволяет вам сразу заехать и жить. Планировка удобная, с окнами, выходящими как на улицу, так и во двор, поэтому в квартире всегда будет достаточно света и свежего воздуха. Совмещенный санузел удобно расположен, что экономит пространство и упрощает уборку.

Дом, в котором находится квартира, имеет наземную парковку, поэтому можно не беспокоиться о месте для автомобиля. Жильцы дома поддерживают его в хорошем состоянии, что создает приятную атмосферу для проживания.

Район, где расположена квартира, обустроен всем необходимым для комфортной жизни. В шаговой доступности находятся школы, детские сады, клиники и магазины. Это значит, что все важное будет под рукой, а дети смогут добираться до школы быстро и безопасно.

Продажа квартиры осуществляется от собственника, без посредников и комиссий. Документы готовы к сделке, и вы можете быть уверены в юридической чистоте объекта. Возможна ипотека, что сделает покупку еще более доступной.

Не упустите возможность стать владельцем этой замечательной квартиры! Записывайтесь на просмотр, чтобы лично оценить все ее преимущества. Мы будем рады ответить на ваши вопросы и помочь вам сделать правильный выбор.
Узнать больше  ","71,9 м²","6,2 м²",1,2000,Вторичка,,1 совмещенный,На улицу и двор,Косметический,Индивидуальный проект,,Деревянные,2,Центральное,Нет,Нет,42:32:0101019:***,"71,7 м²",Жилое,Наземная,1,,,Да,,,,
12,"3-комн. квартира, 57 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/313690482/,3 000 000 ₽,"Кемеровская область, Прокопьевск, р-н Центральный, Союзная ул., 76На карте","Продам уютную квартиру в новом кирпичном доме,высокий цокал в подъезде горячие батареи очень теплая  квартира , рядом школа, детский сад, аптека, все магазины автобусная остановка , во дворе Освальд.  Приглашаем на просмотр.",57 м²,8 м²,1 из 5,1999,Вторичка,,1 раздельный,На улицу и двор,Косметический,111-86,Кирпичный,Железобетонные,6,Центральное,Нет,,,,,,,,,,1 лоджия,,,
13,"3-комн. квартира, 65,8 м², 4/5 этаж",https://kemerovo.cian.ru/sale/flat/313622776/,3 550 000 ₽,"Кемеровская область, Прокопьевск, р-н Центральный, Азовская ул., 12К3На карте",Уютная просторная трешка теплая остановка  двух минутах.рядом садик.магазины,"65,8 м²",12 м²,4,2011,Вторичка,"2,7 м",1 совмещенный,На улицу и двор,Без ремонта,,Панельный,,,,,Нет,42:32:0101025:***,"65,8 м²",Жилое,Наземная,4,"46,5 м²",,,1 балкон,,,
14,"3-комн. квартира, 65 м², 5/9 этаж",https://kemerovo.cian.ru/sale/flat/307520229/,6 100 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Обручева, 41На карте","Предлагается к приобретению уютная трехкомнатная квартира общей площадью 65 квадратных метров, расположенная на пятом этаже девятиэтажного панельного дома, построенного в 1976 году. Дом находится по адресу: город Прокопьевск, улица Обручева, 41. - Лучшая локация на Тыргане!

Просторная жилая зона составляет 40 квадратных метров, где каждый найдет место для отдыха и личного пространства. Кухня площадью 9 квадратных метров предоставляет достаточно места для приготовления любимых блюд и семейных ужинов. Наличие балкона добавляет дополнительное пространство для отдыха и возможность насладиться видами на  площадь города с фонтаном.

Квартира с хорошим ремонтом, что позволит новым владельцам сразу начать комфортное проживание без дополнительных вложений.  Окна в квартире пластиковые, выходят на две стороны дома, в кухне увеличенное окно, а в зале установлены французские окна. На полу ламинат, потолки натяжные, в санузлах современный кафель. В туалете унитаз-инсталляция, (небольшие ремонтные работы видны на фото:) Раздельный санузел обеспечит удобство для большой семьи.

Для молодых семей особенно актуальным будет наличие развитой инфраструктуры района: рядом расположены школа, детский сад, поликлиника, торговый центр и парк, что делает эту локацию идеальной для жизни с детьми. Для малышей во дворе установлена детская площадка, а взрослые оценят удобную парковку прямо во дворе.

Этот вариант жилья подойдет тем, кто ценит спокойствие и одновременно близость к городской инфраструктуре. Здесь вы сможете создать свой уголок комфорта и уюта, куда всегда приятно возвращаться после насыщенного дня.

Приглашаем вас ознакомиться с квартирой и убедиться во всех ее преимуществах лично!
Узнать больше  ",65 м²,9 м²,5,1976,Вторичка,,1 раздельный,На улицу и двор,Косметический,1-464,Панельный,Железобетонные,8,Центральное,Нет,Есть,42:32:0103013:***,"64,7 м²",Жилое,Наземная,1,40 м²,Да,,1 балкон,1 пассажирский,,
15,"Студия, 38,8 м², 1/2 этаж",https://kemerovo.cian.ru/sale/flat/309059724/,1 050 000 ₽,"Кемеровская область, Прокопьевск, р-н Центральный, Цикличная ул., 15На карте","Продается теплая, светлая квартира на Северном маганаке в хорошем районе. В квартире сделан хороший косметический ремонт, установлены натяжные потолки, на полу линолеум, входная дверь в отличном состоянии. Имеется небольшая дополнительная комната. Чистый ухоженный подъезд. Инфраструктура в шаговой доступности: школа, детский сад, магазины, автобусные и трамвайные остановки. Возможна продажа в ипотеку без первоначального взноса, а также под различные виды сертификатов. Полное документальное сопровождение сделки. . Номер в базе: 11589298.","38,8 м²",,1 из 2,1952,Вторичка,,1 раздельный,,Косметический,Индивидуальный проект,Кирпичный,Железобетонные,1,Центральное,Нет,,,,,,,,,,1 балкон,,,
16,"1-комн. квартира, 30 м², 3/3 этаж",https://kemerovo.cian.ru/sale/flat/299680867/,1 500 000 ₽,"Кемеровская область, Прокопьевск, р-н Центральный, Черниговская ул., 9На карте","Продается тёплая, светлая, уютная квартира на Ясной поляне. В квартире установлены пластиковые окна, дополнительные радиаторы отопления, на полу линолеум. В 2023 году в доме был произведен капитальный ремонт крыши. Инфраструктура в шаговой доступности: школа, детский сад, остановки общественного транспорта, аптеки, дом культуры, дом физкультуры, поликлиника, сетевые магазины. Возможна продажа в ипотеку без первоначального взноса, а также под различные виды сертификатов. Полное документальное сопровождение сделки. . Номер в базе: 10739027.",30 м²,6 м²,3 из 3,2000,Вторичка,,1 совмещенный,,Косметический,Индивидуальный проект,Кирпичный,Железобетонные,2,Центральное,Нет,,,,,,,,,,,,,
17,"3-комн. квартира, 52,1 м², 1/2 этаж",https://kemerovo.cian.ru/sale/flat/311415711/,1 500 000 ₽,"Кемеровская область, Прокопьевск, р-н Зенковский, ул. Олега Кошевого, 19БНа карте","Назовите при звонке данный номер объявления - 539524
 Продается уютная трехкомнатная квартира общей площадью 52,1 кв.м. В квартире выполнен косметический ремонт, пластиковые окна, натяжные потолки. Санузел раздельный. Центральное водоснабжение (холодная вода), горячая - от водонагревателя. Отопление печно-водяное. 
Квартира ждёт своих новых хозяев! Реальному покупателю обоснованный торг.  Данный объект Вы можете приобрести с привлечением материнского капитала. Бесплатная консультация и подача документов на ипотечное кредитование. Отличный выбор для покупки! Не упускайте свой шанс жить лучше!


Номер объекта: #1/539524/21572
Узнать больше  ","52,1 м²","7,2 м²",1 из 2,,Вторичка,,1 раздельный,На улицу и двор,Косметический,,Кирпичный,,,,,,,,,Наземная,,"37,3 м²",,,,,,
18,"1-комн. квартира, 30,5 м², 2/2 этаж",https://kemerovo.cian.ru/sale/flat/312501290/,1 625 000 ₽,"Кемеровская область, Прокопьевск, р-н Центральный, Звенигородская ул., 1На карте","АУКЦИОН. Объект реализуется через электронный аукцион с 2025-01-17 по 2025-03-28 
ПАО Сбербанк реализует имущество: 

Объект (ID I22480666) :  1-комнатная квартира общей площадью 30.50 кв.м. Дом кирпичный. 
Адрес:  Россия, Кемеровская область, г. Прокопьевск, Звенигородская ул, д. 1, кв. 31. 

Текущая стоимость объекта:  1,625,000.00

Объект расположен в районе с очень развитой инфраструктурой, что обеспечит жителям современный уровень комфорта. Внутренняя отделка: Требует косметического ремонта

Объект находится в районе с развитой инфраструктурой. Рядом школа, сеть продуктовых магазинов. В шаговой доступности остановки наземного транспорта. 
В нескольких минутах езды больница, детский сад. 
ОКРУЖАЮЩАЯ ИНФРАСТРУКТУРА:  Школа, Поликлиника, Больница, Прод. магазин, Остановка общ. транспорта. 

ДЕЙСТВУЮЩИЕ ОБРЕМЕНЕНИЯ ПО ОБЪЕКТУ:  отсутствуют. 

СПОСОБЫ ОФОРМЛЕНИЯ СДЕЛКИ:  возможна ипотека (минимальная сумма кредита 300 000 руб. ) / возможно использование материнского капитала

ИНДИВИДУАЛЬНЫЕ И ТЕХНИЧЕСКИЕ ХАРАКТЕРИСТИКИ ОБЪЕКТА: 

Кадастровый номер: 42: 32: 0102004: 1737

Транспортная доступность: В черте города

Общая площадь (кв. м. ) : 30.50

Жилая площадь (кв. м. ) : 18.00

Площадь кухни (кв. м. ) : 6.00

Количество комнат: 1

Площадь комнат (кв. м. ) : 18

Высота потолков (м. ) : 2.50

Этаж: 2

Этажность: 2

Количество санузлов: 1

Санузел: Совместный

Количество лоджий/балконов: 1

Лоджия/балкон: Остекление

Принадлежность к рынку: Вторичка

Вид из окна: На улицу

Коммуникации: 
Водоснабжение, Канализация, Энергоснабжение, Отопление

Характеристики здания, в котором располагается объект: 
Год постройки: 1971

Дополнительная информация по телефону, указанному в объявлении, в рабочие дни с 04-00 до 18-00 (МСК) . 

Задать вопрос в ЧАТ можно по ссылке ниже. Ответ в ЧАТ предоставляется в рабочие дни с 04-00 до 18-00 (МСК) . 


Настоящее объявление размещено в рамках реализации ПАО Сбербанк имущества, приобретенного в целях обеспечения деятельности ПАО Сбербанк, имущества, на которое обращено взыскание как на предмет залога, а также полученного по договору в качестве отступного. 

ПАО Сбербанк. Генеральная лицензия Банка России на осуществление банковских операций  1481 от 11.08.2015
Узнать больше  
Аукцион
Объект продаётся на сайте электронных торгов. В объявлении указана стартовая цена
Залоговая недвижимость
Продаётся банком, которому объект перешёл из-за невыплаченного кредита или ипотеки","30,5 м²",6 м²,2 из 2,1971,Вторичка,,,,Без ремонта,Индивидуальный проект,Кирпичный,Железобетонные,6,Центральное,Нет,,,,,,,18 м²,Нет,,1 балкон,,,
19,"2-комн. квартира, 44,1 м², 1/4 этаж",https://kemerovo.cian.ru/sale/flat/303051213/,1 700 000 ₽,"Кемеровская область, Прокопьевск, р-н Центральный, Транспортная ул., 23На карте","Продам 2-х комнатную квартиру по ул. Транспортная 23, в отличном состоянии, 1/4, пластиковые окей а, межкомнатные двери, натяжные потолки, с/у совмещен в кафеле, большая душевая кабина, водосчетчики, хороший двор","44,1 м²",6 м²,1 из 4,1959,Вторичка,,1 совмещенный,Во двор,Евроремонт,Индивидуальный проект,Кирпичный,Железобетонные,2,Центральное,Нет,,,,,Наземная,,,,,,,,
20,"1-комн. квартира, 20,5 м², 5/5 этаж",https://kemerovo.cian.ru/sale/flat/313605412/,1 700 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Крупской, 14На карте","Продам комнату в общежитии на Тыргане. Комната в статусе -Квартира. Сделан ремонт, вскрыты полы. Установлен натяжной потолок, постелен новый линолеум. Поклеены новые обои. Пластиковые окна. Квартира теплая, сухая, светлая. Отдельный сан. узел и душевая кабина. Спокойные соседи. Удобная транспортная развязка. Можно приобрести в ипотеку. Полное юридическое сопровождение. Под любой вид сертификата. Взрослые собственники, документы готовы. Подъезд к дому круглый год. . Номер в базе: 11810435.","20,5 м²",4 м²,5 из 5,2000,Вторичка,,1 раздельный,,Косметический,,Кирпичный,Железобетонные,3,Центральное,Нет,,,,,,,,,,1 балкон,,,
21,"2-комн. квартира, 43,4 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/307666488/,1 700 000 ₽,"Кемеровская область, Прокопьевск, р-н Центральный, ул. Кучина, 20На карте","Назовите при звонке данный номер объявления - 538274
 Предлагается к покупке 2-х комнатная квартира в кирпичном доме.
В квартире установлены пластиковые окна, межкомнатные двери. Потолки в жилых комнатах натяжные или потолочная плитка, на кухне - потолочная плитка. Напольное покрытие - ламинат. Стены оклеены обоями. Радиаторы отопления и стояки заменены на современные.
Под окном на кухне расположен зимний холодильник в современной интерпретации.
Стены и пол в ванной комнате отделаны кафелем. Ванна металлическая. Канализационные трубы и трубы водоснабжения заменены на пластиковые, установлены счетчики учета воды. Есть подводка для стиральной машинки. Санфаянс в отличном состоянии. .
В подъезде светло, чисто и тепло. Установлен домофон.

Район с хорошей транспортной доступностью. Центральная дорога и придомовая территория регулярно чистятся от снега. 
В шаговой доступности находится средняя школа 71, детский сад Золотой ключик, магазины, городская больница, почта, банк, Дом культуры, сквер и т.д.

Рассмотрим Ваше предложение по цене. Торг уместен.

Благодаря сотрудничеству с ведущими банками, компания Жилфонд предлагает оформление ипотеки любой сложности, с преференциями по процентной ставке, без первоначального взноса. С использованием материнского капитала.

Номер объекта: #1/538274/21572
Узнать больше  ","43,4 м²",6 м²,1 из 5,1965,Вторичка,"2,5 м",1 совмещенный,На улицу,Косметический,111-86,Кирпичный,Железобетонные,4,Центральное,Нет,,,,,,,28 м²,,,,,,
22,"2-комн. квартира, 59 м², 1/2 этаж",https://kemerovo.cian.ru/sale/flat/306183972/,1 750 000 ₽,"Кемеровская область, Прокопьевск, р-н Центральный, Волжская ул., 16На карте","Продам 2-к квартиру в гор. Прокопьевск
Цена: 1 млн. 750 тыс. руб.
Адрес: ул. Волжская, 16, Ясная поляна
Этаж: 1/2
Площадь: 59 КВ. м.
Описание: Квартира теплая, сухая, в хорошем жилом состоянии. Установлены пластиковые окна, с/у раздельный, имеется кладовая, подпол, погреб. Установлен бойлер. 1 взрослый собственник. В шаговой доступности школа, детский сад, магазины, остановки общественного транспорта.
БЕЗ дополнительных комиссий!
Пишите в личное сообщение, я вам вышлю ссылку на группу в контакте на весь список квартир на продажу.

СОПРОВОЖДЕНИЕ СДЕЛКИ КУПЛИ-ПРОДАЖИ:
Наличный расчет - 7 000 руб.
Материнский капитал - 15 000 руб.
Снос ветхого жилья - 15 000 руб.
Ипотека - 20 000 руб.
Все операции с недвижимостью. Консультации бесплатно!
Узнать больше  ",59 м²,8 м²,1 из 2,1962,Вторичка,,1 раздельный,,,Индивидуальный проект,Кирпичный,Железобетонные,2,Центральное,Нет,,,,,,,,,,,,Автономное,
23,"1-комн. квартира, 27 м², 2/3 этаж",https://kemerovo.cian.ru/sale/flat/310812341/,1 750 000 ₽,"Кемеровская область, Прокопьевск, р-н Центральный, ул. Космонавта Волынова, 17АНа карте","Продам квартиру-студию в Центре , ремонт от застройщика: окна ПВХ, новая сантехника, полы -линолеум.

Инфраструктура: рядом школа, с/к бассейн ""Дельфин"", Сбербанк , отличная транспортная развязка.",27 м²,,2 из 3,2015,Вторичка,,,,,Индивидуальный проект,Кирпичный,Железобетонные,2,Центральное,Нет,,,,,,,,,,,,,
24,"2-комн. квартира, 58,6 м², 2/3 этаж",https://kemerovo.cian.ru/sale/flat/313974571/,1 750 000 ₽,"Кемеровская область, Прокопьевск, р-н Центральный, Волжская ул., 20ВНа карте","Предлагается к продаже уютная, теплая двух комнатная квартира на Ясной поляне, улица Волжская 20в. Квартира очень теплая, светлая, находится на комфортном втором этаже трехэтажного дома. В квартире сделан косметический ремонт- установлены пластиковые окна, потолки беленые, на стенах обои, на полу линолеум. Сан.узел совмещенный, санфаянс новый, остается только на свой вкус наклеить плитку.
Развитая инфраструктура. В шаговой доступности детский сад, школа, магазины, остановка общественного транспорта.
Приветствуется любой вид расчета - наличные средства, маткапитал плюс ипотека, которую можно оформить прямо у нас в офисе Компании ЭТАЖИ. . Номер в базе: 11838102.
Узнать больше  ","58,6 м²",6 м²,2 из 3,2000,Вторичка,,1 совмещенный,,Косметический,Индивидуальный проект,Кирпичный,Железобетонные,,Центральное,Нет,,,,,,,,,,1 балкон,,,
25,"2-комн. квартира, 23,8 м², 1/5 этаж",https://kemerovo.cian.ru/sale/flat/308217786/,1 800 000 ₽,"Кемеровская область, Прокопьевск, р-н Рудничный, ул. Надежды Крупской, 14На карте","Продам в Прокопьевске двух комнатную квартиру  в тихом месте  !
Квартира , светлая, очень уютная и не смотря на то, что первый этаж , очень тёплая. Вложений не требует. 
Квартира после ремонта. Окна ПВХ ( на окнах решётки) , трубы поменяны, новая сантехника, стоят счетчики. Сделана вентиляция. Поклеяны новые обои, на полу ленолеум. Пол в коридоре залит, в комнатах деревянный (стяжка, не скрипит, ровный). Туалет и душевая кабина. 
Район спальный, тихий, хорошие соседи. 
 Также рядом все магазины, аптека, банки, управление соц защиты, районный суд. Остановка общественного транспорта. Школа # 54, детские сады # 108 # 59 .  
В квартире остаётся все мебель и техника( холодильник, бойлер, плита, микроволновая печь, стиральная машина, телевизор), также остаётся роутер.
Квартира ждёт новых собственников. Заезжай и живи. Так же можно приобрести для коммерческой деятельности. Чистая продажа, ключи в день сделки. 
Бесплатные консультации по ипотеке, самые низкие ставки, работаем с материнским капиталом и жилищными сертификатами. 
  Ждем на просмотр)
Узнать больше  ","23,8 м²",6 м²,1 из 5,2000,Вторичка,,1 раздельный,,Косметический,,Кирпичный,Железобетонные,3,Центральное,Нет,,,,,Наземная,,,,,,,,
